Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
118,Germán Cano,ar ARG,FW,br Fluminense,36,1988,6,5,376,4.2,1,1,2,1,0,0,1,0,0.24,0.24,0.48,0.24,0.48,Matches
119,Agustín Canobbio,uy URU,FW,br Fluminense,26,1998,3,2,157,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
120,Valentin Carboni,ar ARG,MF,it Inter,19,2005,3,0,75,0.8,1,0,1,1,0,0,0,0,1.2,0,1.2,1.2,1.2,Matches
121,Álvaro Carreras,es ESP,DF,pt Benfica,21,2003,2,2,135,1.5,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
122,Dani Carvajal,es ESP,DF,es Real Madrid,33,1992,1,0,20,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
123,Milton Casco,ar ARG,DF,ar River Plate,36,1988,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
124,Kevin Castaño,co COL,MF,ar River Plate,24,2000,2,2,179,2,0,0,0,0,0,0,2,1,0,0,0,0,0,Matches
125,Edinson Cavani,uy URU,FW,ar Boca Juniors,37,1987,1,1,53,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
126,Dani Ceballos,es ESP,MF,es Real Madrid,28,1996,4,0,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
127,Murilo Cerqueira,br BRA,DF,br Palmeiras,27,1997,3,3,197,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
128,Kaio César,br BRA,"FW,MF",sa Al-Hilal,20,2004,2,0,65,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
129,Nassim Chadli,fr FRA,MF,ae Al Ain FC,23,2001,3,1,114,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
130,Trevoh Chalobah,eng ENG,DF,eng Chelsea,25,1999,5,4,395,4.4,0,1,1,0,0,0,0,0,0,0.23,0.23,0,0.23,Matches
131,Ricardo Chávez Soto,mx MEX,"MF,DF",mx Monterrey,30,1994,2,2,147,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
132,Rayan Cherki,fr FRA,MF,eng Manchester City,21,2003,4,1,122,1.4,1,1,2,1,0,0,0,0,0.74,0.74,1.48,0.74,1.48,Matches
133,Carney Chukwuemeka,eng ENG,MF,de Dortmund,21,2003,4,0,65,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
134,Lee Chung-yong,kr KOR,MF,kr Ulsan HD,36,1988,3,1,80,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
135,Facundo Colidio,ar ARG,FW,ar River Plate,25,2000,3,3,231,2.6,1,0,1,1,0,0,0,0,0.39,0,0.39,0.39,0.39,Matches
136,Levi Colwill,eng ENG,DF,eng Chelsea,21,2003,5,5,477,5.3,0,1,1,0,0,0,3,0,0,0.19,0.19,0,0.19,Matches
137,Kingsley Coman,fr FRA,MF,de Bayern Munich,28,1996,4,4,247,2.7,2,1,3,2,0,0,0,0,0.73,0.36,1.09,0.73,1.09,Matches
138,Francisco Conceição,pt POR,MF,it Juventus,22,2002,3,3,221,2.5,2,0,2,2,0,0,1,0,0.81,0,0.81,0.81,0.81,Matches
139,Dylan Connolly,ie IRL,DF,nz Auckland City,24,2000,1,0,37,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
140,Jesús Corona,mx MEX,"MF,FW",mx Monterrey,32,1993,3,3,210,2.3,1,0,1,1,0,0,0,0,0.43,0,0.43,0.43,0.43,Matches
141,Ángel Correa,ar ARG,"FW,MF",es Atlético Madrid,29,1995,3,0,82,0.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
142,Joaquín Correa,ar ARG,"FW,MF",br Botafogo (RJ),30,1994,2,0,95,1.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
143,Jordi Cortizo,mx MEX,MF,mx Monterrey,28,1996,2,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
144,Alberto costa,pt POR,MF,it Juventus,21,2003,4,4,308,3.4,0,2,2,0,0,0,0,0,0,0.58,0.58,0,0.58,Matches
145,Ayrton Costa,ar ARG,DF,ar Boca Juniors,25,1999,2,2,180,2,0,1,1,0,0,0,1,0,0,0.5,0.5,0,0.5,Matches
146,Giorgio Costantini,br BRA,MF,ar River Plate,18,2006,1,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
147,Thibaut Courtois,be BEL,GK,es Real Madrid,32,1992,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
148,Yan Couto,br BRA,MF,de Dortmund,22,2002,5,2,249,2.8,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
149,Ben Cremaschi,us USA,MF,us Inter Miami,19,2005,4,1,141,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
150,Marc Cucurella,es ESP,DF,eng Chelsea,26,1998,6,6,570,6.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
151,Cuiabano,br BRA,DF,br Botafogo (RJ),21,2003,4,0,126,1.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
152,Jair Cunha,br BRA,DF,br Botafogo (RJ),19,2005,4,4,353,3.9,1,0,1,1,0,0,0,0,0.25,0,0.25,0.25,0.25,Matches
153,Keanu Cupido,za RSA,DF,za Mamelodi Sundowns,27,1998,3,3,233,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
154,Adam Daghim,dk DEN,FW,at RB Salzburg,19,2005,3,0,83,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
155,Samuel Dahl,se SWE,DF,pt Benfica,24,2000,4,3,300,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
156,Danilo,br BRA,DF,br Flamengo,33,1991,2,2,180,2,1,0,1,1,0,0,0,0,0.5,0,0.5,0.5,0.5,Matches
157,Achraf Dari,ma MAR,DF,eg Al Ahly,25,1999,3,3,241,2.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
158,Matteo Darmian,it ITA,"DF,MF",it Inter,35,1989,4,4,352,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
159,Nasser Al-Dawsari,sa KSA,MF,sa Al-Hilal,26,1998,5,5,437,4.9,0,1,1,0,0,0,0,0,0,0.21,0.21,0,0.21,Matches
160,Salem Al-Dawsari,sa KSA,"MF,FW",sa Al-Hilal,33,1991,3,3,255,2.8,1,0,1,1,0,0,0,0,0.35,0,0.35,0.35,0.35,Matches
161,Giorgian De Arrascaeta,uy URU,MF,br Flamengo,30,1994,4,4,254,2.8,1,1,2,1,0,0,0,0,0.35,0.35,0.71,0.35,0.71,Matches
162,Nicolás De La Cruz,uy URU,MF,br Flamengo,27,1997,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
163,Pedro De la Vega,ar ARG,MF,us Seattle Sounders,23,2001,2,1,79,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
164,Rodrigo De Paul,ar ARG,MF,es Atlético Madrid,30,1994,3,3,190,2.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
165,Osaze De Rosario,gy GUY,FW,us Seattle Sounders,23,2001,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
